Curves,siglen,keygen,keygen/s,sign,sign/s,verify,verify/s,no PC verify,no PC verify/s,ecdh,ecdh/s,curve_type,bit_size
NIST192p:,48,0.00094s,1061.17,0.00105s,955.57,0.00190s,526.09,0.00376s,265.89,0.00361s,276.94,NIST,192
NIST224p:,56,0.00118s,847.12,0.00130s,769.87,0.00239s,418.56,0.00495s,201.94,0.00454s,220.25,NIST,224
NIST256p:,64,0.00157s,637.48,0.00168s,595.91,0.00333s,300.55,0.00607s,164.85,0.00557s,179.57,NIST,256
NIST384p:,96,0.00307s,325.66,0.00332s,301.64,0.00602s,166.07,0.01259s,79.42,0.01283s,77.96,NIST,384
NIST521p:,132,0.02091s,47.83,0.00622s,160.88,0.01243s,80.44,0.03237s,30.89,0.02175s,45.98,NIST,521
SECP256k1:,64,0.00150s,665.95,0.00167s,599.16,0.00297s,336.63,0.00595s,167.96,0.00517s,193.47,SECP,256
BRAINPOOLP160r1:,40,0.00071s,1403.96,0.00080s,1255.3,0.00138s,723.51,0.00297s,336.71,0.00262s,382.2,BRAINPOOL,160
BRAINPOOLP192r1:,48,0.00094s,1066.22,0.00104s,963.67,0.00185s,539.44,0.00408s,245.17,0.00354s,282.7,BRAINPOOL,192
BRAINPOOLP224r1:,56,0.00118s,850.17,0.00131s,760.78,0.00239s,419.2,0.00507s,197.24,0.00476s,210.09,BRAINPOOL,224
BRAINPOOLP256r1:,64,0.00161s,622.28,0.00168s,593.64,0.00305s,328.1,0.00645s,155.07,0.00612s,163.39,BRAINPOOL,256
BRAINPOOLP320r1:,80,0.00209s,477.6,0.00239s,417.65,0.00444s,225.18,0.00940s,106.33,0.00876s,114.14,BRAINPOOL,320
BRAINPOOLP384r1:,96,0.00323s,309.41,0.00331s,302.43,0.00595s,168.11,0.01313s,76.15,0.01216s,82.27,BRAINPOOL,384
BRAINPOOLP512r1:,128,0.02053s,48.72,0.00607s,164.73,0.01209s,82.73,0.02505s,39.93,0.02307s,43.35,BRAINPOOL,512
SECP112r1:,28,0.00043s,2316.15,0.00048s,2069.36,0.00084s,1189.98,0.00177s,563.84,0.00147s,681.19,SECP,112
SECP112r2:,28,0.00042s,2403.41,0.00048s,2097.49,0.00081s,1227.15,0.00174s,574.94,0.00158s,632.9,SECP,112
SECP128r1:,32,0.00052s,1906.79,0.00059s,1683.82,0.00099s,1007.97,0.00209s,479.38,0.00247s,405.49,SECP,128
SECP160r1:,42,0.00071s,1408.58,0.00079s,1267.02,0.00135s,741.31,0.00291s,343.13,0.00257s,389.56,SECP,160
Ed25519:,64,0.00232s,430.74,0.00118s,850.77,0.00306s,327.24,0.00984s,101.59,0.00255s,391.69,Ed,25519
Ed448:,114,0.00782s,127.94,0.00849s,117.75,0.01054s,94.86,0.03075s,32.52,0.00343s,291.18,Ed,448
BRAINPOOLP160t1:,40,0.00073s,1371.12,0.00081s,1236.1,0.00141s,711.64,0.00292s,342.13,0.00485s,206.35,BRAINPOOL,160
BRAINPOOLP192t1:,48,0.00103s,973.04,0.00135s,738.58,0.00272s,367.37,0.00679s,147.31,0.00593s,168.7,BRAINPOOL,192
BRAINPOOLP224t1:,56,0.00239s,417.79,0.00261s,383.31,0.00374s,267.14,0.00924s,108.24,0.00887s,112.7,BRAINPOOL,224
BRAINPOOLP256t1:,64,0.00283s,353.77,0.00308s,324.62,0.00503s,198.95,0.00960s,104.21,0.01325s,75.45,BRAINPOOL,256
BRAINPOOLP320t1:,80,0.00227s,439.61,0.00355s,281.93,0.00626s,159.68,0.01008s,99.21,0.02285s,43.76,BRAINPOOL,320
